Time,data
1654043857.5508494,25
1654043857.6573987,25
1654043857.8613672,25
1654043858.0543025,25
1654043858.252113,25
1654043858.4541016,25
1654043858.657136,25
1654043858.8590848,25
1654043859.0519927,25
1654043859.248962,25
1654043859.4518692,25
1654043859.6517627,25
1654043859.860898,25
1654043860.0538344,25
1654043860.2518518,25
1654043860.4597626,25
1654043860.651856,25
1654043860.86073,25
1654043861.05371,25
1654043861.2547147,25
1654043861.4588249,24
1654043861.6536584,25
1654043861.8605547,25
1654043862.0545385,25
1654043862.258523,25
1654043862.4614596,25
1654043862.6514506,25
1654043862.8644886,25
1654043863.0543969,25
1654043863.2524288,25
1654043863.4523196,25
1654043863.6492958,25
1654043863.8612642,25
1654043864.0562663,25
1654043864.2572253,25
1654043864.4541142,25
1654043864.6491556,25
1654043864.8631344,25
1654043865.057187,25
1654043865.2583935,25
1654043865.4563491,25
1654043865.6499777,25
1654043865.8642018,25
1654043866.0589828,25
1654043866.257446,25
1654043866.4590518,25
1654043866.6529822,25
1654043866.8608465,25
1654043867.0589733,25
1654043867.2518976,24
1654043867.4508018,24
1654043867.64882,24
1654043867.857813,24
1654043868.0577955,23
1654043868.2537668,23
1654043868.4537294,23
1654043868.653844,24
1654043868.8616345,24
1654043869.0516114,25
1654043869.2577033,25
1654043869.4588587,25
1654043869.6545007,24
1654043869.8614452,24
1654043870.0494738,24
1654043870.2593725,24
1654043870.4574091,24
1654043870.6593242,24
1654043870.8622322,25
1654043871.0520897,24
1654043871.2580802,24
1654043871.4510815,24
1654043871.6500146,24
1654043871.8589904,24
1654043872.0499504,24
1654043872.250923,24
1654043872.448844,24
1654043872.6518292,23
1654043872.8588116,23
1654043873.0487483,23
1654043873.2526836,23
1654043873.4516697,23
1654043873.651654,23
1654043873.858663,23
1654043874.0515769,23
1654043874.2536232,24
1654043874.449478,24
1654043874.6535308,24
1654043874.8585327,24
1654043875.050438,24
1654043875.2514358,24
1654043875.4493582,24
1654043875.6515305,24
1654043875.8594353,24
1654043876.0494888,24
1654043876.2524157,24
1654043876.457355,24
1654043876.6523101,24
1654043876.8585863,24
1654043877.052371,24
1654043877.2542458,24
1654043877.460203,24
1654043877.6572845,24
1654043877.8596518,24
1654043878.0570428,24
1654043878.259964,24
1654043878.4538846,24
1654043878.6538627,24
1654043878.8598332,24
1654043879.057029,24
1654043879.2587664,24
1654043879.4547024,24
1654043879.6569338,24
1654043879.8596942,24
1654043880.054647,24
1654043880.2576337,24
1654043880.4495745,24
1654043880.6476605,24
1654043880.8575623,24
1654043881.0544488,24
1654043881.2524312,24
1654043881.4515057,24
1654043881.649557,24
1654043881.8594391,24
1654043882.0594518,24
1654043882.2494702,24
1654043882.4534788,24
1654043882.6585786,24
1654043882.8625169,24
1654043883.0543027,24
1654043883.250286,24
1654043883.4542482,24
1654043883.6542308,24
1654043883.8612247,24
1654043884.0595317,24
1654043884.2550437,24
1654043884.4581494,24
1654043884.6540952,24
1654043884.8590424,24
1654043885.0590808,24
1654043885.249272,24
1654043885.4518585,24
1654043885.6495826,24
1654043885.8628027,24
1654043886.0486639,24
1654043886.2576957,24
1654043886.453638,24
1654043886.6505973,24
1654043886.8616104,24
1654043887.0536683,24
1654043887.2580554,24
1654043887.4605281,24
1654043887.6527433,24
1654043887.8615205,24
1654043888.0574853,24
1654043888.253692,24
1654043888.4544303,23
1654043888.6482658,23
1654043888.861227,23
1654043889.054232,23
1654043889.2573478,23
1654043889.4542987,23
1654043889.6472776,23
1654043889.860983,24
1654043890.0501394,24
1654043890.2502263,24
1654043890.4575076,24
1654043890.653253,24
1654043890.8652904,24
1654043891.0590189,24
1654043891.2550178,24
1654043891.4599407,23
1654043891.6537347,23
1654043891.8631117,23
1654043892.0496852,23
1654043892.2536674,23
