Time,header.seq,header.stamp.secs,header.stamp.nsecs,header.frame_id,rssi,channels_0,channels_1,channels_2,channels_3,channels_4,channels_5,channels_6,channels_7,channels_8,channels_9,channels_10,channels_11,channels_12,channels_13,channels_14,channels_15,channels_16,channels_17
1654043857.5338542,0,1654043857,533437479,,40,1494,1494,985,1494,982,1494,1851,982,982,1094,2005,982,982,982,1494,1494,998,998
1654043857.538897,1,1654043857,537738109,,40,1494,1493,985,1494,982,1494,1851,982,982,1094,2005,982,982,982,1494,1494,998,998
1654043857.5475142,2,1654043857,545753183,,40,1494,1493,985,1494,982,1494,1851,982,982,1094,2005,982,982,982,1494,1494,998,998
1654043857.5518146,3,1654043857,550988294,,40,1494,1493,985,1494,982,1494,1851,982,982,1094,2005,982,982,982,1494,1494,998,998
1654043857.5823953,4,1654043857,582014516,,40,1494,1493,985,1494,982,1494,1851,982,982,1094,2005,982,982,982,1494,1494,998,998
1654043857.6314669,5,1654043857,631048276,,40,1494,1493,985,1494,982,1494,1851,982,982,1094,2005,982,982,982,1494,1494,998,998
1654043857.6834157,6,1654043857,682997868,,40,1494,1493,985,1494,982,1494,1851,982,982,1094,2005,982,982,982,1494,1494,998,998
1654043857.7318916,7,1654043857,731210979,,40,1494,1493,985,1494,982,1494,1851,982,982,1094,2005,982,982,982,1494,1494,998,998
1654043857.7826517,8,1654043857,782038387,,40,1494,1493,985,1494,982,1494,1851,982,982,1094,2005,982,982,982,1494,1494,998,998
1654043857.8316567,9,1654043857,830981053,,40,1494,1493,985,1494,982,1494,1851,982,982,1094,2005,982,982,982,1494,1494,998,998
1654043857.8823078,10,1654043857,881921720,,40,1494,1494,985,1494,982,1494,1851,982,982,1094,2005,982,982,982,1494,1494,998,998
1654043857.9316547,11,1654043857,930991849,,40,1494,1493,985,1494,982,1494,1851,982,982,1094,2005,982,982,982,1494,1494,998,998
1654043857.9813352,12,1654043857,980877590,,40,1494,1493,985,1494,982,1494,1851,982,982,1094,2005,982,982,982,1494,1494,998,998
1654043858.0323725,13,1654043858,31972516,,40,1494,1494,985,1494,982,1494,1851,982,982,1094,2005,982,982,982,1494,1494,998,998
1654043858.0813613,14,1654043858,80933072,,40,1494,1493,985,1494,982,1494,1851,982,982,1094,2005,982,982,982,1494,1494,998,998
1654043858.132315,15,1654043858,131937090,,40,1494,1493,985,1494,982,1494,1851,982,982,1094,2005,982,982,982,1494,1494,998,998
1654043858.1831956,16,1654043858,182836683,,40,1494,1493,985,1494,982,1494,1851,982,982,1094,2005,982,982,982,1494,1494,998,998
1654043858.2312381,17,1654043858,230922794,,40,1494,1494,985,1494,982,1494,1851,982,982,1094,2005,982,982,982,1494,1494,998,998
1654043858.2833142,18,1654043858,282877312,,40,1494,1493,985,1494,982,1494,1851,982,982,1094,2005,982,982,982,1494,1494,998,998
1654043858.3334107,19,1654043858,332942497,,40,1494,1493,985,1494,982,1494,1851,982,982,1094,2005,982,982,982,1494,1494,998,998
1654043858.381281,20,1654043858,380819479,,40,1494,1493,985,1494,982,1494,1851,982,982,1094,2005,982,982,982,1494,1494,998,998
1654043858.4323537,21,1654043858,431932164,,40,1494,1494,985,1494,982,1494,1851,982,982,1094,2005,982,982,982,1494,1494,998,998
1654043858.4813023,22,1654043858,480892034,,40,1494,1493,985,1494,982,1494,1851,982,982,1094,2005,982,982,982,1494,1494,998,998
1654043858.5325,23,1654043858,531883942,,40,1494,1493,985,1494,982,1494,1851,982,982,1094,2005,982,982,982,1494,1494,998,998
1654043858.5833004,24,1654043858,582825664,,40,1494,1494,985,1494,982,1494,1851,982,982,1094,2005,982,982,982,1494,1494,998,998
1654043858.631216,25,1654043858,630833756,,40,1494,1494,985,1494,982,1494,1851,982,982,1094,2005,982,982,982,1494,1494,998,998
1654043858.6832242,26,1654043858,682806942,,40,1494,1493,985,1494,982,1494,1851,982,982,1094,2005,982,982,982,1494,1494,998,998
1654043858.733292,27,1654043858,732835867,,40,1494,1494,985,1494,982,1494,1851,982,982,1094,2005,982,982,982,1494,1494,998,998
1654043858.782258,28,1654043858,781858423,,40,1494,1493,985,1494,982,1494,1851,982,982,1094,2005,982,982,982,1494,1494,998,998
1654043858.8332758,29,1654043858,832767849,,40,1494,1493,985,1494,982,1494,1851,982,982,1094,2005,982,982,982,1494,1494,998,998
1654043858.8832412,30,1654043858,882795145,,40,1494,1494,985,1494,982,1494,1851,982,982,1094,2005,982,982,982,1494,1494,998,998
1654043858.9321325,31,1654043858,931724367,,40,1494,1493,985,1494,982,1494,1851,982,982,1094,2005,982,982,982,1494,1494,998,998
1654043858.9821577,32,1654043858,981773849,,40,1494,1493,985,1494,982,1494,1851,982,982,1094,2005,982,982,982,1494,1494,998,998
1654043859.0333154,33,1654043859,32770293,,40,1494,1493,985,1494,982,1494,1851,982,982,1094,2005,982,982,982,1494,1494,998,998
1654043859.083189,34,1654043859,82769293,,40,1494,1493,985,1494,982,1494,1851,982,982,1094,2005,982,982,982,1494,1494,998,998
1654043859.1321406,35,1654043859,131708127,,40,1494,1493,985,1494,982,1494,1851,982,982,1094,2005,982,982,982,1494,1494,998,998
1654043859.182441,36,1654043859,181811478,,40,1494,1494,985,1494,982,1494,1851,982,982,1094,2005,982,982,982,1494,1494,998,998
1654043859.2331936,37,1654043859,232740608,,40,1494,1493,985,1494,982,1494,1851,982,982,1094,2005,982,982,982,1494,1494,998,998
1654043859.282126,38,1654043859,281707367,,40,1494,1493,985,1494,982,1494,1851,982,982,1094,2005,982,982,982,1494,1494,998,998
1654043859.3334236,39,1654043859,332740645,,40,1494,1493,985,1494,982,1494,1851,982,982,1094,2005,982,982,982,1494,1494,998,998
1654043859.381,40,1654043859,380655089,,40,1494,1493,985,1494,982,1494,1851,982,982,1094,2005,982,982,982,1494,1494,998,998
1654043859.4331706,41,1654043859,432715015,,40,1494,1493,985,1494,982,1494,1851,982,982,1094,2005,982,982,982,1494,1494,998,998
1654043859.4830635,42,1654043859,482630015,,40,1494,1494,985,1494,982,1494,1851,982,982,1094,2005,982,982,982,1494,1494,998,998
