Time,header.seq,header.stamp.secs,header.stamp.nsecs,header.frame_id,connected,armed,guided,manual_input,mode,system_status
1654043857.6111782,0,1654043857,418567350,,False,False,False,False,,0
1654043857.6968696,1,1654043857,694049757,,True,False,False,True,CMODE(196608),3
1654043858.6975915,2,1654043858,696825016,,True,False,False,True,POSCTL,3
1654043859.6952085,3,1654043859,694661497,,True,False,False,True,POSCTL,3
1654043860.6948154,4,1654043860,694454144,,True,False,False,True,POSCTL,3
1654043861.6946528,5,1654043861,694347088,,True,False,False,True,POSCTL,3
1654043862.6956587,6,1654043862,695185976,,True,False,False,True,POSCTL,3
1654043863.6955,7,1654043863,694996809,,True,False,False,True,POSCTL,3
1654043864.6972342,8,1654043864,696812031,,True,False,False,True,POSCTL,3
1654043865.6975353,9,1654043865,696931734,,True,False,False,True,POSCTL,3
1654043866.6950474,10,1654043866,694551603,,True,False,False,True,POSCTL,3
1654043867.6969283,11,1654043867,696414844,,True,False,False,True,POSCTL,3
1654043868.696712,12,1654043868,696290325,,True,False,False,True,POSCTL,3
1654043869.6958413,13,1654043869,695050287,,True,False,False,True,POSCTL,3
1654043870.6956441,14,1654043870,694967731,,True,False,False,True,POSCTL,3
1654043871.6960957,15,1654043871,695741934,,True,False,False,True,POSCTL,3
1654043872.6969616,16,1654043872,696659359,,True,False,False,True,POSCTL,3
1654043873.6977232,17,1654043873,697359136,,True,False,False,True,POSCTL,3
1654043874.6957555,18,1654043874,695329339,,True,False,False,True,POSCTL,3
1654043875.6955166,19,1654043875,695053691,,True,False,False,True,POSCTL,3
1654043876.6966653,20,1654043876,695965560,,True,False,False,True,POSCTL,3
1654043877.6971247,21,1654043877,696737801,,True,False,False,True,POSCTL,3
1654043878.6969318,22,1654043878,696572356,,True,False,False,True,POSCTL,3
1654043879.6967893,23,1654043879,696450133,,True,False,False,True,POSCTL,3
1654043880.6965892,24,1654043880,696301984,,True,False,False,True,POSCTL,3
1654043881.6967072,25,1654043881,696177669,,True,False,False,True,POSCTL,3
1654043882.6958807,26,1654043882,694960816,,True,False,False,True,POSCTL,3
1654043883.6973774,27,1654043883,696820242,,True,False,False,True,POSCTL,3
1654043884.6953466,28,1654043884,694664241,,True,False,False,True,POSCTL,3
1654043885.7044034,29,1654043885,698233963,,True,False,False,True,POSCTL,3
1654043886.6958795,30,1654043886,695292555,,True,False,False,True,POSCTL,3
1654043887.6965704,31,1654043887,696171295,,True,False,False,True,POSCTL,3
1654043888.6954753,32,1654043888,694944979,,True,False,False,True,POSCTL,3
1654043889.6975455,33,1654043889,696918868,,True,False,False,True,POSCTL,3
1654043890.6951318,34,1654043890,694674237,,True,False,False,True,POSCTL,3
1654043891.694748,35,1654043891,694426774,,True,False,False,True,POSCTL,3
1654043892.6958044,36,1654043892,695325607,,True,False,False,True,POSCTL,3
1654043893.6956975,37,1654043893,695160106,,True,False,False,True,POSCTL,3
1654043894.6976545,38,1654043894,697000420,,True,False,False,True,POSCTL,3
1654043895.6977372,39,1654043895,696933086,,True,False,False,True,POSCTL,3
1654043896.6952913,40,1654043896,694735549,,True,False,False,True,POSCTL,3
1654043897.6948056,41,1654043897,694470733,,True,False,False,True,POSCTL,3
1654043898.6967945,42,1654043898,696400158,,True,False,False,True,POSCTL,3
1654043899.6966205,43,1654043899,696205250,,True,False,False,True,POSCTL,3
1654043900.696646,44,1654043900,696102694,,True,False,False,True,POSCTL,3
1654043901.6963317,45,1654043901,695936527,,True,False,False,True,POSCTL,3
1654043902.696519,46,1654043902,695869489,,True,False,False,True,POSCTL,3
1654043903.6972609,47,1654043903,696653248,,True,False,False,True,POSCTL,3
1654043904.698434,48,1654043904,697599285,,True,False,False,True,POSCTL,3
1654043905.6969104,49,1654043905,696352562,,True,False,False,True,POSCTL,3
1654043906.695659,50,1654043906,695086135,,True,False,False,True,POSCTL,3
1654043907.6955462,51,1654043907,694963227,,True,False,False,True,POSCTL,3
1654043908.6965084,52,1654043908,695840819,,True,False,False,True,POSCTL,3
1654043909.698217,53,1654043909,697586707,,True,False,False,True,POSCTL,3
1654043910.6969802,54,1654043910,696469762,,True,False,False,True,POSCTL,3
1654043911.6981232,55,1654043911,697468280,,True,False,False,True,POSCTL,3
1654043912.6977642,56,1654043912,697219835,,True,False,False,True,POSCTL,3
1654043913.6969526,57,1654043913,696280409,,True,False,False,True,POSCTL,3
1654043914.6964042,58,1654043914,695850205,,True,False,False,True,POSCTL,3
1654043915.6973479,59,1654043915,696792519,,True,False,False,True,POSCTL,3
1654043916.6980538,60,1654043916,697516759,,True,False,False,True,POSCTL,3
1654043917.6978984,61,1654043917,697308184,,True,False,False,True,POSCTL,3
1654043918.6955283,62,1654043918,695111017,,True,False,False,True,POSCTL,3
1654043919.697681,63,1654043919,696993294,,True,False,False,True,POSCTL,3
1654043920.6973624,64,1654043920,696831831,,True,False,False,True,POSCTL,3
1654043921.6980083,65,1654043921,697673867,,True,False,False,True,POSCTL,3
1654043922.697156,66,1654043922,696577459,,True,False,False,True,POSCTL,3
1654043923.6981888,67,1654043923,697415958,,True,False,False,True,POSCTL,3
1654043924.6968098,68,1654043924,696215810,,True,False,False,True,POSCTL,3
1654043925.6992948,69,1654043925,696141828,,True,False,False,True,POSCTL,3
1654043926.696801,70,1654043926,696200234,,True,False,False,True,POSCTL,3
1654043927.697415,71,1654043927,696757178,,True,False,False,True,POSCTL,3
1654043928.697313,72,1654043928,696589733,,True,False,False,True,POSCTL,3
1654043929.696038,73,1654043929,695433251,,True,False,False,True,POSCTL,3
1654043930.6978037,74,1654043930,697264806,,True,False,False,True,POSCTL,3
1654043931.6979544,75,1654043931,697168583,,True,False,False,True,POSCTL,3
1654043932.6969726,76,1654043932,695923083,,True,False,False,True,POSCTL,3
1654043933.6969466,77,1654043933,695971952,,True,False,False,True,POSCTL,3
1654043934.6964433,78,1654043934,695631100,,True,False,False,True,POSCTL,3
1654043935.6980634,79,1654043935,696522173,,True,False,False,True,POSCTL,3
