Time,header.seq,header.stamp.secs,header.stamp.nsecs,header.frame_id,level,name,msg,file,function,line,topics
1654043856.1566913,30,1654043855,807485795,,2,/flight_log_bagfile,Subscribing to /vrpn_client_node/watersampling/pose,/tmp/binarydeb/ros-noetic-rosbag-1.15.14/src/recorder.cpp,shared_ptr<ros::Subscriber> rosbag::Recorder::subscribe,255,['/rosout']
1654043856.1567068,31,1654043855,860806740,,2,/flight_log_bagfile,Subscribing to /watersampling/EKF_info,/tmp/binarydeb/ros-noetic-rosbag-1.15.14/src/recorder.cpp,shared_ptr<ros::Subscriber> rosbag::Recorder::subscribe,255,['/rosout']
1654043856.15673,32,1654043855,899945054,,2,/flight_log_bagfile,Subscribing to /watersampling/conductivity_sensor,/tmp/binarydeb/ros-noetic-rosbag-1.15.14/src/recorder.cpp,shared_ptr<ros::Subscriber> rosbag::Recorder::subscribe,255,['/rosout']
1654043856.1567514,33,1654043855,946869388,,2,/flight_log_bagfile,Subscribing to /watersampling/depth_sensor,/tmp/binarydeb/ros-noetic-rosbag-1.15.14/src/recorder.cpp,shared_ptr<ros::Subscriber> rosbag::Recorder::subscribe,255,['/rosout']
1654043856.1567676,34,1654043856,10614147,,2,/flight_log_bagfile,Subscribing to /watersampling/sampler_pump_info,/tmp/binarydeb/ros-noetic-rosbag-1.15.14/src/recorder.cpp,shared_ptr<ros::Subscriber> rosbag::Recorder::subscribe,255,['/rosout']
1654043856.1567924,35,1654043856,52607573,,2,/flight_log_bagfile,Subscribing to /watersampling/sonar_dist,/tmp/binarydeb/ros-noetic-rosbag-1.15.14/src/recorder.cpp,shared_ptr<ros::Subscriber> rosbag::Recorder::subscribe,255,['/rosout']
1654043856.1568143,36,1654043856,119307017,,2,/flight_log_bagfile,Subscribing to record,/tmp/binarydeb/ros-noetic-rosbag-1.15.14/src/recorder.cpp,shared_ptr<ros::Subscriber> rosbag::Recorder::subscribe,255,['/rosout']
1654043856.1568527,37,1654043856,148675721,,2,/mavros,Plugin distance_sensor initialized,/tmp/binarydeb/ros-noetic-mavros-1.13.0/src/lib/mavros.cpp,MavRos::add_plugin,376,"['/rosout', '/diagnostics', '/tf', '/tf_static', '/mavlink/from', '/mavros/target_actuator_control', '/mavros/altitude', '/mavros/cam_imu_sync/cam_imu_stamp', '/mavros/camera/image_captured', '/mavros/distance_sensor/hrlv_ez4_pub', '/mavros/distance_sensor/lidarlite_pub']"
1654043856.1568675,38,1654043856,148829462,,2,/mavros,Plugin esc_status blacklisted,/tmp/binarydeb/ros-noetic-mavros-1.13.0/src/lib/mavros.cpp,MavRos::add_plugin,319,"['/rosout', '/diagnostics', '/tf', '/tf_static', '/mavlink/from', '/mavros/target_actuator_control', '/mavros/altitude', '/mavros/cam_imu_sync/cam_imu_stamp', '/mavros/camera/image_captured', '/mavros/distance_sensor/hrlv_ez4_pub', '/mavros/distance_sensor/lidarlite_pub']"
1654043856.1568773,39,1654043856,149180517,,2,/mavros,Plugin esc_telemetry loaded,/tmp/binarydeb/ros-noetic-mavros-1.13.0/src/lib/mavros.cpp,MavRos::add_plugin,326,"['/rosout', '/diagnostics', '/tf', '/tf_static', '/mavlink/from', '/mavros/target_actuator_control', '/mavros/altitude', '/mavros/cam_imu_sync/cam_imu_stamp', '/mavros/camera/image_captured', '/mavros/distance_sensor/hrlv_ez4_pub', '/mavros/distance_sensor/lidarlite_pub']"
1654043856.1628313,40,1654043856,157179369,,2,/flight_log_bagfile,Recording to '/home/usrl/catkin_ws/src/WaterSampling/sampler/flight_logs/watersampling_2022-05-31-20-37-36.bag'.,/tmp/binarydeb/ros-noetic-rosbag-1.15.14/src/recorder.cpp,Recorder::startWriting,449,['/rosout']
