Time,data
1654044508.7229276,96162.8828125
1654044508.822999,97762.3671875
1654044508.9267457,90285.3671875
1654044509.025745,95583.6328125
1654044509.1388626,94781.125
1654044509.2265644,100745.1875
1654044509.3265,106273.9921875
1654044509.4264226,83184.6171875
1654044509.526005,84252.984375
1654044509.63691,85227.1953125
1654044509.724402,145385.453125
1654044509.825008,107119.71875
1654044509.9246078,105528.765625
1654044510.025084,87856.015625
1654044510.1375895,119871.0546875
1654044510.2249076,84148.671875
1654044510.3242574,107094.734375
1654044510.4238622,92629.9609375
1654044510.5241857,105429.734375
1654044510.6379192,135184.90625
1654044510.7232833,88697.28125
1654044510.8229153,105331.59375
1654044510.922822,108903.4765625
1654044511.0232697,117012.8984375
1654044511.1348968,81366.6484375
1654044511.2234955,89489.90625
1654044511.3225293,90243.671875
1654044511.4245045,109720.4609375
1654044511.523497,111981.1640625
1654044511.6343524,87869.8828125
1654044511.722669,97335.1640625
1654044511.8227775,97278.96875
1654044511.9223585,98576.328125
1654044512.0214443,113022.4375
1654044512.1337707,101156.484375
1654044512.2220595,112847.328125
1654044512.3211615,22123.287109375
1654044512.42134,99413.5390625
1654044512.520825,103222.2734375
1654044512.6336627,84020.96875
1654044512.7202368,103605.6640625
1654044512.820294,114702.0859375
1654044512.9207737,102969.234375
1654044513.0205612,91496.234375
1654044513.1326718,97041.9921875
1654044513.2204442,119126.25
1654044513.3195586,104034.359375
1654044513.4194477,135236.828125
1654044513.5188096,105219.5859375
1654044513.631825,131228.1875
1654044513.7194715,123282.828125
1654044513.8193748,82166.0703125
1654044513.9184723,110282.4921875
1654044514.0186129,42753.05078125
1654044514.1306477,110574.4453125
1654044514.2176366,136902.546875
1654044514.3187397,92435.5625
1654044514.4175675,111549.265625
1654044514.5166342,108258.4296875
1654044514.6284416,88815.1640625
1654044514.716607,104889.7265625
1654044514.8175132,18262.19921875
1654044514.9164038,99175.0703125
1654044515.0165367,114223.078125
1654044515.1404538,116789.8359375
1654044515.220376,115236.9765625
1654044515.3204355,95369.9921875
1654044515.4195063,112785.3359375
1654044515.5201364,109493.7734375
1654044515.6317024,103899.78125
1654044515.7196176,93175.9140625
1654044515.8196802,105569.4296875
1654044515.9184792,122470.8828125
1654044516.0194046,112209.46875
1654044516.1302621,117789.3671875
1654044516.2185228,129082.7421875
1654044516.3182716,111284.40625
1654044516.418444,101235.0859375
1654044516.5173357,103906.9140625
1654044516.6299531,95368.140625
1654044516.717224,95155.2265625
1654044516.8170536,122373.671875
1654044516.9174798,89854.3359375
1654044517.0178838,102808.8671875
1654044517.1290653,120985.6484375
1654044517.216314,117629.4765625
1654044517.3163726,120120.953125
1654044517.416709,139221.84375
1654044517.5167453,118019.0390625
1654044517.6287067,125593.1171875
1654044517.7153625,106154.40625
1654044517.815982,117873.015625
1654044517.9159987,108306.375
1654044518.0148258,135725.53125
1654044518.1270046,110559.0
1654044518.2148294,111711.421875
1654044518.3146658,103558.1484375
1654044518.4147413,106191.0703125
1654044518.5147953,84674.3203125
1654044518.6266894,94920.796875
1654044518.7141225,88348.3984375
1654044518.814228,102381.1875
1654044518.9135983,92469.3125
1654044519.013692,117416.3125
1654044519.1258256,135596.859375
1654044519.2135127,99694.1953125
1654044519.3142319,94977.1484375
1654044519.4140198,119199.0
1654044519.5141082,112043.09375
1654044519.6263077,114789.6015625
1654044519.7142956,99328.7265625
1654044519.8138578,100725.9609375
1654044519.9140956,97195.515625
1654044520.0125425,118979.5078125
1654044520.1247985,105962.0703125
1654044520.2128077,90816.0234375
1654044520.312349,126680.5703125
1654044520.413375,115444.84375
1654044520.5125856,105806.203125
1654044520.6253457,117632.4375
1654044520.712106,90032.2421875
1654044520.8115964,104965.28125
1654044520.9119778,116555.53125
1654044521.0114064,99338.765625
1654044521.1236653,98742.7890625
1654044521.211981,99834.6640625
1654044521.3117657,108706.21875
1654044521.4117343,96944.5859375
1654044521.51146,104700.5
1654044521.6352305,92592.921875
1654044521.7153764,100135.1171875
1654044521.8155272,101425.9765625
1654044521.9142396,110481.125
1654044522.0149074,92326.4765625
1654044522.1258068,97336.375
1654044522.2135742,99897.078125
1654044522.3132763,86433.578125
1654044522.4141083,103281.796875
1654044522.5139205,107450.09375
1654044522.625139,125900.4296875
1654044522.7136855,120537.75
1654044522.8136199,87562.9453125
1654044522.9123275,115841.9609375
1654044523.0128124,100775.4921875
1654044523.1248145,98308.3828125
1654044523.2121198,92507.5234375
1654044523.311796,125668.4375
1654044523.4119592,134368.0
1654044523.5114372,112806.4765625
1654044523.6236563,103418.703125
1654044523.7116604,113259.53125
1654044523.811886,103124.6796875
1654044523.9109948,97645.203125
1654044524.0113845,92228.203125
1654044524.123557,100942.8984375
1654044524.2110424,98708.0078125
1654044524.311075,90082.7421875
1654044524.4103024,106251.03125
1654044524.510326,109091.40625
1654044524.6223586,101000.109375
1654044524.710674,111924.28125
1654044524.81121,101352.734375
1654044524.9104366,97375.6484375
1654044525.009709,112277.3984375
1654044525.1215663,115093.40625
1654044525.2095823,88678.2421875
1654044525.3092344,87948.3515625
1654044525.4094691,117088.078125
1654044525.5090692,104938.25
1654044525.6223972,92744.0
1654044525.7091486,96988.3125
1654044525.808685,93746.578125
1654044525.9085813,88423.7734375
1654044526.0084724,104404.6171875
1654044526.12009,105402.0078125
1654044526.2075589,120549.7109375
1654044526.3079216,100555.3671875
1654044526.4074955,104113.640625
1654044526.5079346,100172.7421875
1654044526.619971,106691.0546875
1654044526.7075481,121798.046875
1654044526.8070881,93933.3203125
1654044526.9083352,96494.90625
1654044527.0068903,90362.4375
1654044527.1195872,106174.34375
1654044527.2075734,99407.96875
1654044527.30631,93281.28125
1654044527.4060225,99674.015625
1654044527.506354,110063.2109375
1654044527.6181624,150384.875
1654044527.7064087,110861.921875
1654044527.8134422,109053.03125
1654044527.9102128,89938.2734375
1654044528.009613,102992.3203125
1654044528.121024,104762.953125
1654044528.2086723,99273.4453125
1654044528.3086977,95748.734375
1654044528.4092982,107552.9296875
1654044528.5087395,100715.734375
1654044528.6214163,118226.8359375
1654044528.7080653,108780.8828125
