Time,data
1654044508.7257926,248024.359375
1654044508.8253176,247371.453125
1654044508.9290533,244874.390625
1654044509.0280526,246418.765625
1654044509.141331,246700.3125
1654044509.2288387,246595.515625
1654044509.328753,247720.53125
1654044509.4288614,246776.4375
1654044509.5289607,245896.3125
1654044509.6397302,246260.28125
1654044509.726947,246928.5625
1654044509.8274117,246150.390625
1654044509.9270158,245135.265625
1654044510.0273995,245101.578125
1654044510.139948,245491.25
1654044510.2264228,240066.765625
1654044510.326742,245385.9375
1654044510.4261227,244878.34375
1654044510.5264945,245908.375
1654044510.640767,245926.140625
1654044510.7260032,246062.1875
1654044510.8253655,246174.96875
1654044510.9250915,244934.484375
1654044511.0255544,245428.265625
1654044511.138398,241630.5
1654044511.226115,246026.25
1654044511.3247552,245851.703125
1654044511.4266546,246216.78125
1654044511.5256166,246018.84375
1654044511.6374135,242492.90625
1654044511.7249796,244858.328125
1654044511.82589,246184.125
1654044511.9247172,246264.8125
1654044512.0243714,245265.734375
1654044512.1367092,245740.703125
1654044512.2242856,244532.75
1654044512.3231056,235060.421875
1654044512.4240654,244882.4375
1654044512.5234606,245766.96875
1654044512.636776,241237.96875
1654044512.722575,245040.3125
1654044512.822423,245310.4375
1654044512.9228425,245955.828125
1654044513.0231965,243590.90625
1654044513.1343398,246001.0
1654044513.222496,245681.84375
1654044513.3219612,242430.53125
1654044513.4230893,245928.921875
1654044513.5210838,246113.109375
1654044513.634143,244104.171875
1654044513.7219365,243865.046875
1654044513.8212466,239476.734375
1654044513.9214375,244485.8125
1654044514.021044,237222.3125
1654044514.133302,244930.484375
1654044514.2210028,243584.65625
1654044514.3215995,244531.015625
1654044514.420362,245091.796875
1654044514.518962,244747.3125
1654044514.6305668,246195.0625
1654044514.7186341,243734.546875
1654044514.8191376,237973.609375
1654044514.9185052,246167.578125
1654044515.0186045,246054.3125
1654044515.1425369,244421.171875
1654044515.2218392,245502.71875
1654044515.3221958,245244.625
1654044515.4214451,243985.171875
1654044515.5221438,245856.78125
1654044515.6336584,246209.9375
1654044515.7215362,244018.375
1654044515.8217912,245588.5
1654044515.9212108,245773.375
1654044516.0208828,244277.0
1654044516.1323943,245750.375
1654044516.221432,243830.09375
1654044516.3203394,245060.953125
1654044516.419981,245483.234375
1654044516.5200205,244977.984375
1654044516.6315482,244270.703125
1654044516.7195034,244286.78125
1654044516.8191178,245750.46875
1654044516.9196851,245529.484375
1654044517.0191822,244011.53125
1654044517.131706,244412.609375
1654044517.2193894,244491.5625
1654044517.3181853,244956.796875
1654044517.4186018,244506.484375
1654044517.5179648,243708.21875
1654044517.6305861,244758.75
1654044517.717695,244750.8125
1654044517.8183284,244225.515625
1654044517.9180694,245995.9375
1654044518.0171726,245444.875
1654044518.129151,244941.921875
1654044518.216797,245444.21875
1654044518.3164103,244771.890625
1654044518.41664,244179.71875
1654044518.516677,245562.71875
1654044518.6288478,244529.234375
