Time,header.seq,header.stamp.secs,header.stamp.nsecs,header.frame_id,conductivity.data,total_dissolved_solids.data,salinity.data
1654043860.3173285,1,1654043860,316851854,,1.2,1,0.0
1654043861.822605,2,1654043861,822179079,,1.01,1,0.0
1654043863.327009,3,1654043863,326602935,,1.01,1,0.0
1654043864.8325844,4,1654043864,831832885,,1.01,1,0.0
1654043866.3389094,5,1654043866,338242292,,1.01,1,0.0
1654043867.8457232,6,1654043867,844888687,,1.01,1,0.0
1654043869.3532429,7,1654043869,352634668,,1.01,1,0.0
1654043870.858634,8,1654043870,858274459,,1.01,1,0.0
1654043872.3641243,9,1654043872,363748788,,1.2,1,0.0
1654043873.8688028,10,1654043873,868404388,,1.01,1,0.0
1654043875.3736663,11,1654043875,373267173,,1.01,1,0.0
1654043876.8790028,12,1654043876,877429485,,1.01,1,0.0
1654043878.3833477,13,1654043878,382862091,,1.01,1,0.0
1654043879.8884044,14,1654043879,887917757,,1.01,1,0.0
1654043881.392692,15,1654043881,392305612,,1.01,1,0.0
1654043882.9008133,16,1654043882,900236368,,1.01,1,0.0
1654043884.4078593,17,1654043884,406930923,,0.8,0,0.0
1654043885.912982,18,1654043885,912595748,,1.01,1,0.0
1654043887.4183903,19,1654043887,417861461,,1.01,1,0.0
1654043888.9235694,20,1654043888,923161268,,0.8,0,0.0
1654043890.4289262,21,1654043890,428346633,,0.8,0,0.0
1654043891.9345064,22,1654043891,934063434,,0.8,0,0.0
1654043893.4398518,23,1654043893,439389228,,0.8,0,0.0
1654043894.9466717,24,1654043894,946099996,,0.8,0,0.0
1654043896.4541366,25,1654043896,453608751,,0.8,0,0.0
1654043897.959548,26,1654043897,959147453,,0.8,0,0.0
1654043899.464826,27,1654043899,464413166,,0.8,0,0.0
1654043900.9689949,28,1654043900,968598842,,0.8,0,0.0
1654043902.4755175,29,1654043902,474960565,,0.8,0,0.0
1654043903.9822853,30,1654043903,981620550,,0.8,0,0.0
1654043905.4893706,31,1654043905,488723039,,0.8,0,0.0
1654043906.995973,32,1654043906,995319843,,0.8,0,0.0
1654043908.502363,33,1654043908,501876831,,0.8,0,0.0
1654043910.009873,34,1654043910,9315729,,0.8,0,0.0
1654043911.516883,35,1654043911,516372203,,0.8,0,0.0
1654043913.02409,36,1654043913,23559570,,0.8,0,0.0
1654043914.5311077,37,1654043914,530508279,,0.8,0,0.0
1654043916.03888,38,1654043916,38182497,,0.8,0,0.0
1654043917.5443857,39,1654043917,543817043,,0.8,0,0.0
1654043919.0487704,40,1654043919,48375844,,0.8,0,0.0
1654043920.5539913,41,1654043920,553583145,,0.8,0,0.0
1654043922.0611591,42,1654043922,60572385,,0.8,0,0.0
1654043923.5687373,43,1654043923,568185091,,0.59,0,0.0
1654043925.0757487,44,1654043925,75242996,,0.8,0,0.0
1654043926.5835116,45,1654043926,582917451,,0.8,0,0.0
1654043928.0912514,46,1654043928,90577363,,0.8,0,0.0
1654043929.5991242,47,1654043929,598405122,,0.8,0,0.0
1654043931.106042,48,1654043931,105523109,,0.8,0,0.0
