Time,header.seq,header.stamp.secs,header.stamp.nsecs,header.frame_id,master_pump.data,sampling_pump_a.data,sampling_pump_b.data,sampling_pump_c.data,main_channel.data,sampler_A.data,sampler_B.data,sampler_C.data
1654043857.629124,1,1654043857,628435850,,False,False,False,False,False,False,False,False
1654043857.6622105,2,1654043857,661766052,,False,False,False,False,False,False,False,False
1654043857.6962996,3,1654043857,695201873,,False,False,False,False,False,False,False,False
1654043857.7289698,4,1654043857,728485345,,False,False,False,False,False,False,False,False
1654043857.7622275,5,1654043857,761773109,,False,False,False,False,False,False,False,False
1654043857.7959874,6,1654043857,795289516,,False,False,False,False,False,False,False,False
1654043857.829087,7,1654043857,828547477,,False,False,False,False,False,False,False,False
1654043857.8622324,8,1654043857,861802816,,False,False,False,False,False,False,False,False
1654043857.895658,9,1654043857,895115375,,False,False,False,False,False,False,False,False
1654043857.9289093,10,1654043857,928451299,,False,False,False,False,False,False,False,False
1654043857.962292,11,1654043857,961837291,,False,False,False,False,False,False,False,False
1654043857.9955683,12,1654043857,995111227,,False,False,False,False,False,False,False,False
1654043858.0290155,13,1654043858,28491735,,False,False,False,False,False,False,False,False
1654043858.0622857,14,1654043858,61790704,,False,False,False,False,False,False,False,False
1654043858.0955591,15,1654043858,95107555,,False,False,False,False,False,False,False,False
1654043858.1289191,16,1654043858,128443717,,False,False,False,False,False,False,False,False
1654043858.1622915,17,1654043858,161792516,,False,False,False,False,False,False,False,False
1654043858.1954823,18,1654043858,195077419,,False,False,False,False,False,False,False,False
1654043858.2288635,19,1654043858,228434324,,False,False,False,False,False,False,False,False
1654043858.2621422,20,1654043858,261732578,,False,False,False,False,False,False,False,False
1654043858.29558,21,1654043858,295112609,,False,False,False,False,False,False,False,False
1654043858.3291543,22,1654043858,328452587,,False,False,False,False,False,False,False,False
1654043858.3621793,23,1654043858,361761331,,False,False,False,False,False,False,False,False
1654043858.3954773,24,1654043858,395058393,,False,False,False,False,False,False,False,False
1654043858.4288576,25,1654043858,428415775,,False,False,False,False,False,False,False,False
1654043858.4621658,26,1654043858,461746215,,False,False,False,False,False,False,False,False
1654043858.4955566,27,1654043858,495142459,,False,False,False,False,False,False,False,False
1654043858.5289772,28,1654043858,528449058,,False,False,False,False,False,False,False,False
1654043858.5622656,29,1654043858,561854124,,False,False,False,False,False,False,False,False
1654043858.5954847,30,1654043858,595070838,,False,False,False,False,False,False,False,False
1654043858.6288488,31,1654043858,628425836,,False,False,False,False,False,False,False,False
1654043858.6622274,32,1654043858,661809206,,False,False,False,False,False,False,False,False
1654043858.6955538,33,1654043858,695090532,,False,False,False,False,False,False,False,False
1654043858.7288375,34,1654043858,728419780,,False,False,False,False,False,False,False,False
1654043858.7622252,35,1654043858,761830329,,False,False,False,False,False,False,False,False
1654043858.7954729,36,1654043858,795074462,,False,False,False,False,False,False,False,False
1654043858.828864,37,1654043858,828415393,,False,False,False,False,False,False,False,False
1654043858.8622725,38,1654043858,861821651,,False,False,False,False,False,False,False,False
1654043858.8954904,39,1654043858,895093679,,False,False,False,False,False,False,False,False
1654043858.928833,40,1654043858,928426504,,False,False,False,False,False,False,False,False
1654043858.962173,41,1654043858,961775779,,False,False,False,False,False,False,False,False
1654043858.9954784,42,1654043858,995062351,,False,False,False,False,False,False,False,False
1654043859.0289617,43,1654043859,28474092,,False,False,False,False,False,False,False,False
1654043859.0622203,44,1654043859,61795473,,False,False,False,False,False,False,False,False
1654043859.095487,45,1654043859,95101833,,False,False,False,False,False,False,False,False
1654043859.1288302,46,1654043859,128407001,,False,False,False,False,False,False,False,False
1654043859.1621826,47,1654043859,161789894,,False,False,False,False,False,False,False,False
1654043859.1954775,48,1654043859,195064544,,False,False,False,False,False,False,False,False
1654043859.2288382,49,1654043859,228433132,,False,False,False,False,False,False,False,False
1654043859.2621646,50,1654043859,261760711,,False,False,False,False,False,False,False,False
1654043859.2954814,51,1654043859,295091629,,False,False,False,False,False,False,False,False
1654043859.328822,52,1654043859,328402996,,False,False,False,False,False,False,False,False
1654043859.3621955,53,1654043859,361786365,,False,False,False,False,False,False,False,False
1654043859.3955312,54,1654043859,395090341,,False,False,False,False,False,False,False,False
1654043859.4288943,55,1654043859,428460121,,False,False,False,False,False,False,False,False
1654043859.4621887,56,1654043859,461769819,,False,False,False,False,False,False,False,False
1654043859.4955184,57,1654043859,495100975,,False,False,False,False,False,False,False,False
1654043859.5288787,58,1654043859,528415679,,False,False,False,False,False,False,False,False
1654043859.5622256,59,1654043859,561828613,,False,False,False,False,False,False,False,False
1654043859.595517,60,1654043859,595061779,,False,False,False,False,False,False,False,False
1654043859.6288874,61,1654043859,628424644,,False,False,False,False,False,False,False,False
1654043859.662283,62,1654043859,661789894,,False,False,False,False,False,False,False,False
1654043859.6956937,63,1654043859,695151805,,False,False,False,False,False,False,False,False
1654043859.7290733,64,1654043859,728515386,,False,False,False,False,False,False,False,False
1654043859.762349,65,1654043859,761942625,,False,False,False,False,False,False,False,False
1654043859.7957623,66,1654043859,795217752,,False,False,False,False,False,False,False,False
1654043859.8289695,67,1654043859,828567743,,False,False,False,False,False,False,False,False
